# CAN Dump
# Duration: 30 seconds
# Total messages: 79
# Unique IDs: 37
#
# Format: timestamp CAN_ID [len] data RxStatus
#
28.488031 0x0A0 [8] 55 00 03 5C 03 5C F3 5C RxStat=0x00000000
29.367764 0x040 [8] 80 00 00 00 7F FE 87 FE RxStat=0x00000000
29.602896 0x070 [8] 57 A7 D0 FE FE 3F FF 02 RxStat=0x00000000
29.834121 0x040 [8] 80 00 00 00 7F FE 87 FE RxStat=0x00000000
30.067945 0x060 [8] 06 67 07 FF 00 00 0E 2E RxStat=0x00000000
#
# Summary:
# 0x030: 2 msgs
# 0x040: 4 msgs
# 0x050: 6 msgs
# 0x060: 5 msgs
# 0x070: 4 msgs
# 0x080: 3 msgs
# 0x090: 2 msgs
# 0x0A0: 5 msgs
# 0x0B0: 2 msgs
# 0x0C0: 3 msgs
# 0x0E0: 3 msgs
# 0x100: 3 msgs
# 0x110: 1 msgs
# 0x130: 4 msgs
# 0x140: 2 msgs
# 0x148: 1 msgs
# 0x150: 1 msgs
# 0x154: 2 msgs
# 0x160: 2 msgs
# 0x170: 2 msgs
# 0x180: 1 msgs
# 0x190: 1 msgs
# 0x1B0: 1 msgs
# 0x1C0: 1 msgs
# 0x1D0: 2 msgs
# 0x1E0: 3 msgs
# 0x1F0: 1 msgs
# 0x220: 1 msgs
# 0x230: 2 msgs
# 0x238: 2 msgs
# 0x260: 1 msgs
# 0x270: 1 msgs
# 0x310: 1 msgs
# 0x320: 1 msgs
# 0x328: 1 msgs
# 0x368: 1 msgs
# 0x430: 1 msgs
